filemname	vertexCount	edgeCount	orthogonalWidth	orthogonalHeight	orthogonalComplexity	orthogonalCompressedWidth	orthogonalCompressedHeight	orthogonalCompressedComplexity	smoothWidth	smoothHeight	smoothComplexity	smoothCheapAdjWidth	smoothCheapAdjHeight	smoothCheapAdjComplexity	smoothAllAdjWidth	smoothAllAdjHeight	smoothAllAdjComplexity
grafo236	15	19	5	14	95	5	11	95	7	11	23	7	11	23	14	11	21	
grafo2360	17	22	6	16	110	6	15	110	9	15	29	9	15	29	29	16	28	
grafo237	16	19	4	15	95	4	15	95	4	15	23	4	15	23	19	19	24	
grafo2373	16	20	5	15	100	4	13	100	4	13	23	4	13	23	21	13	24	
grafo2376	16	21	6	15	105	5	13	105	11	13	25	11	13	25	14	13	24	
grafo2377	15	17	3	14	85	3	14	85	3	14	20	3	14	20	14	14	20	
grafo238	10	13	4	9	65	4	8	65	6	8	16	6	8	16	8	8	16	
grafo2384	11	14	4	10	70	4	7	70	7	7	17	7	7	17	8	7	17	
grafo2385	13	15	3	12	75	3	11	75	5	11	17	5	11	17	14	11	17	
grafo2392	14	18	5	13	90	5	13	90	-1	-1	-1	6	13	22	16	15	21	
grafo2393	14	18	5	13	90	5	10	90	5	10	23	5	10	23	17	10	22	
grafo2396	20	26	7	19	130	7	19	130	-1	-1	-1	14	21	35	28	28	33	
grafo2410	22	27	6	21	135	6	19	135	15	19	32	15	19	32	22	19	31	
grafo2413	16	21	6	15	105	5	12	105	10	12	27	10	12	27	19	12	26	
grafo2415	13	16	4	12	80	4	8	80	4	8	21	4	8	21	10	10	20	
grafo2416	21	27	7	20	135	6	14	135	11	14	32	11	14	32	23	14	30	
grafo2417	14	19	6	13	95	6	12	95	-1	-1	-1	9	12	26	19	16	26	
grafo2418	17	23	7	16	115	6	15	115	6	15	32	6	15	32	47	16	30	
grafo242	14	18	5	13	90	5	12	90	-1	-1	-1	7	12	25	22	13	23	
grafo2421	17	20	4	16	100	4	13	100	6	13	24	6	13	24	16	13	23	
grafo2428	19	25	7	19	125	7	10	125	23	17	33	23	17	33	23	17	33	
grafo2430	14	16	3	13	80	3	9	80	3	9	19	3	9	19	9	9	19	
